open_covid_region_code,date,average_high
US-DC,Mar-20,13.3
US-DC,Apr-20,19.4
US-DC,May-20,23.9
US-DC,Jun-20,28.9
US-DC,Jul-20,31.7
US-DC,Aug-20,30.6
US-DC,Sep-20,26.7
US-DE,Mar-20,10.6
US-DE,Apr-20,16.7
US-DE,May-20,22.2
US-DE,Jun-20,27.2
US-DE,Jul-20,29.4
US-DE,Aug-20,28.3
US-DE,Sep-20,24.4
US-MT,Mar-20,12.2
US-MT,Apr-20,17.2
US-MT,May-20,22.2
US-MT,Jun-20,27.2
US-MT,Jul-20,31.7
US-MT,Aug-20,31.7
US-MT,Sep-20,25.6
US-ND,Mar-20,2.2
US-ND,Apr-20,13.3
US-ND,May-20,20.6
US-ND,Jun-20,25
US-ND,Jul-20,27.8
US-ND,Aug-20,27.2
US-ND,Sep-20,21.7
US-RI,Mar-20,8.9
US-RI,Apr-20,15
US-RI,May-20,20
US-RI,Jun-20,25.6
US-RI,Jul-20,28.3
US-RI,Aug-20,27.2
US-RI,Sep-20,28.3
US-SD,Mar-20,6.1
US-SD,Apr-20,15
US-SD,May-20,21.1
US-SD,Jun-20,26.1
US-SD,Jul-20,28.9
US-SD,Aug-20,27.8
US-SD,Sep-20,22.8
US-VT,Mar-20,4.4
US-VT,Apr-20,12.8
US-VT,May-20,19.4
US-VT,Jun-20,24.4
US-VT,Jul-20,27.2
US-VT,Aug-20,26.1
US-VT,Sep-20,21.1
US-WV,Mar-20,13.3
US-WV,Apr-20,20
US-WV,May-20,23.9
US-WV,Jun-20,27.8
US-WV,Jul-20,29.5
US-WV,Aug-20,28.9
US-WV,Sep-20,25.6
